check,timestamp,url,final_url,status_code,location,body_snippet,headers
API health,2026-06-01T20:13:09Z,https://api.ceq.lol/health,https://api.ceq.lol/health,curl_fail,,"",""
API ready,2026-06-01T20:13:09Z,https://api.ceq.lol/ready,https://api.ceq.lol/ready,curl_fail,,"",""
API docs,2026-06-01T20:13:09Z,https://api.ceq.lol/docs,https://api.ceq.lol/docs,curl_fail,,"",""
Jobs trailing slash redirect,2026-06-01T20:13:09Z,https://api.ceq.lol/v1/jobs,https://api.ceq.lol/v1/jobs,curl_fail,,"",""
Jobs list no-auth,2026-06-01T20:13:09Z,https://api.ceq.lol/v1/jobs/,https://api.ceq.lol/v1/jobs/,curl_fail,,"",""
Templates list no-auth,2026-06-01T20:13:09Z,https://api.ceq.lol/v1/templates/?skip=0&limit=1,https://api.ceq.lol/v1/templates/?skip=0&limit=1,curl_fail,,"",""
Render card no-auth,2026-06-01T20:13:09Z,https://api.ceq.lol/v1/render/card,https://api.ceq.lol/v1/render/card,curl_fail,,"",""
Credits balance no-auth,2026-06-01T20:13:09Z,https://api.ceq.lol/v1/credits/balance,https://api.ceq.lol/v1/credits/balance,curl_fail,,"",""
Operations status no-auth,2026-06-01T20:13:09Z,https://api.ceq.lol/v1/operations/status,https://api.ceq.lol/v1/operations/status,curl_fail,,"",""
Templates categories,2026-06-01T20:13:10Z,https://api.ceq.lol/v1/templates/categories,https://api.ceq.lol/v1/templates/categories,curl_fail,,"",""
Assets types,2026-06-01T20:13:10Z,https://api.ceq.lol/v1/assets/types,https://api.ceq.lol/v1/assets/types,curl_fail,,"",""
Outputs list,2026-06-01T20:13:10Z,https://api.ceq.lol/v1/outputs,https://api.ceq.lol/v1/outputs,curl_fail,,"",""
Outputs channels,2026-06-01T20:13:10Z,https://api.ceq.lol/v1/outputs/channels,https://api.ceq.lol/v1/outputs/channels,curl_fail,,"",""
Output upload-url no-auth,2026-06-01T20:13:10Z,https://api.ceq.lol/v1/outputs/upload-url,https://api.ceq.lol/v1/outputs/upload-url,curl_fail,,"",""
Public landing,2026-06-01T20:13:10Z,https://ceq.lol/,https://ceq.lol/,curl_fail,,"",""
App root no-cookie,2026-06-01T20:13:10Z,https://app.ceq.lol/,https://app.ceq.lol/,curl_fail,,"",""
App login,2026-06-01T20:13:10Z,https://app.ceq.lol/login,https://app.ceq.lol/login,curl_fail,,"",""
App session,2026-06-01T20:13:10Z,https://app.ceq.lol/api/auth/session,https://app.ceq.lol/api/auth/session,curl_fail,,"",""
App docs,2026-06-01T20:13:10Z,https://app.ceq.lol/api/docs,https://app.ceq.lol/api/docs,curl_fail,,"",""
