check,timestamp,url,final_url,status_code,location,body_snippet,headers
"API health","2026-06-01T21:43:13Z","https://api.ceq.lol/health","https://api.ceq.lol/health","200","","{""status"":""ok"",""service"":""ceq-api"",""version"":""0.1.0""}","HTTP/2 200 "
"API ready","2026-06-01T21:43:14Z","https://api.ceq.lol/ready","https://api.ceq.lol/ready","200","","{""status"":""ready"",""message"":""Entropy containment stable. All systems operational."",""database"":""ok"",""redis"":""ok""}","HTTP/2 200 "
"API docs","2026-06-01T21:43:14Z","https://api.ceq.lol/docs","https://api.ceq.lol/docs","404","","{""detail"":""Not Found""}","HTTP/2 404 "
"Jobs trailing slash redirect","2026-06-01T21:43:15Z","https://api.ceq.lol/v1/jobs","https://api.ceq.lol/v1/jobs","307","http://api.ceq.lol/v1/jobs/","","HTTP/2 307 "
"Jobs list no-auth","2026-06-01T21:43:16Z","https://api.ceq.lol/v1/jobs/","https://api.ceq.lol/v1/jobs/","401","","{""detail"":""Signal lost. Authentication required.""}","HTTP/2 401 "
"Templates list no-auth","2026-06-01T21:43:16Z","https://api.ceq.lol/v1/templates/?skip=0&limit=1","https://api.ceq.lol/v1/templates/?skip=0&limit=1","200","","{""templates"":[{""id"":""94df20ca-280f-43a1-baa9-1c8b3f4eae48"",""name"":""FLUX.1 DEV"",""description"":""High-quality image generat","HTTP/2 200 "
"Templates categories","2026-06-01T21:43:17Z","https://api.ceq.lol/v1/templates/categories","https://api.ceq.lol/v1/templates/categories","200","","{""categories"":{""social"":{""name"":""Social Media"",""description"":""Automated content generation for social platforms"",""icon"":","HTTP/2 200 "
"Assets types","2026-06-01T21:43:17Z","https://api.ceq.lol/v1/assets/types","https://api.ceq.lol/v1/assets/types","200","","{""types"":{""checkpoint"":{""name"":""Checkpoint"",""description"":""Base model checkpoints (SD 1.5, SDXL, Flux, etc.)"",""extension","HTTP/2 200 "
"Outputs list","2026-06-01T21:43:18Z","https://api.ceq.lol/v1/outputs","https://api.ceq.lol/v1/outputs","307","http://api.ceq.lol/v1/outputs/","","HTTP/2 307 "
"Outputs channels","2026-06-01T21:43:18Z","https://api.ceq.lol/v1/outputs/channels","https://api.ceq.lol/v1/outputs/channels","200","","{""channels"":{""twitter"":{""name"":""Twitter/X"",""description"":""Post to Twitter/X"",""icon"":""🐦"",""supported_types"":[""image"",""v","HTTP/2 200 "
"Render card no-auth","2026-06-01T21:43:18Z","https://api.ceq.lol/v1/render/card","https://api.ceq.lol/v1/render/card","401","","{""detail"":""Signal lost. Authentication required.""}","HTTP/2 401 "
"Credits balance no-auth","2026-06-01T21:43:19Z","https://api.ceq.lol/v1/credits/balance","https://api.ceq.lol/v1/credits/balance","404","","{""detail"":""Not Found""}","HTTP/2 404 "
"Operations status no-auth","2026-06-01T21:43:19Z","https://api.ceq.lol/v1/operations/status","https://api.ceq.lol/v1/operations/status","401","","{""detail"":""Signal lost. Authentication required.""}","HTTP/2 401 "
"Public landing","2026-06-01T21:43:20Z","https://ceq.lol/","https://ceq.lol/","200","","<!DOCTYPE html><html lang=""en"" class=""dark""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-wid","HTTP/2 200 "
"App root no-cookie","2026-06-01T21:43:20Z","https://app.ceq.lol/","https://app.ceq.lol/","307","https://app.ceq.lol/login?returnTo=%2F","/login?returnTo=%2F","HTTP/2 307 "
"App login","2026-06-01T21:43:21Z","https://app.ceq.lol/login","https://app.ceq.lol/login","200","","<!DOCTYPE html><html lang=""en"" class=""dark""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-wid","HTTP/2 200 "
"App session","2026-06-01T21:43:22Z","https://app.ceq.lol/api/auth/session","https://app.ceq.lol/api/auth/session","401","","{""error"":""No active Studio session""}","HTTP/2 401 "
"App docs","2026-06-01T21:43:22Z","https://app.ceq.lol/api/docs","https://app.ceq.lol/api/docs","307","https://app.ceq.lol/login?returnTo=%2Fapi%2Fdocs","/login?returnTo=%2Fapi%2Fdocs","HTTP/2 307 "
