check,timestamp,url,final_url,status_code,location,body_snippet,headers
"API health","2026-06-01T20:22:42Z","https://api.ceq.lol/health","https://api.ceq.lol/health","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"API ready","2026-06-01T20:22:42Z","https://api.ceq.lol/ready","https://api.ceq.lol/ready","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"API docs","2026-06-01T20:22:42Z","https://api.ceq.lol/docs","https://api.ceq.lol/docs","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Jobs trailing slash redirect","2026-06-01T20:22:42Z","https://api.ceq.lol/v1/jobs","https://api.ceq.lol/v1/jobs","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Jobs list no-auth","2026-06-01T20:22:43Z","https://api.ceq.lol/v1/jobs/","https://api.ceq.lol/v1/jobs/","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Templates list no-auth","2026-06-01T20:22:43Z","https://api.ceq.lol/v1/templates/?skip=0&limit=1","https://api.ceq.lol/v1/templates/?skip=0&limit=1","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Templates categories","2026-06-01T20:22:43Z","https://api.ceq.lol/v1/templates/categories","https://api.ceq.lol/v1/templates/categories","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Assets types","2026-06-01T20:22:43Z","https://api.ceq.lol/v1/assets/types","https://api.ceq.lol/v1/assets/types","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Outputs list","2026-06-01T20:22:43Z","https://api.ceq.lol/v1/outputs","https://api.ceq.lol/v1/outputs","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Outputs channels","2026-06-01T20:22:43Z","https://api.ceq.lol/v1/outputs/channels","https://api.ceq.lol/v1/outputs/channels","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Render card no-auth","2026-06-01T20:22:43Z","https://api.ceq.lol/v1/render/card","https://api.ceq.lol/v1/render/card","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Credits balance no-auth","2026-06-01T20:22:43Z","https://api.ceq.lol/v1/credits/balance","https://api.ceq.lol/v1/credits/balance","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Operations status no-auth","2026-06-01T20:22:43Z","https://api.ceq.lol/v1/operations/status","https://api.ceq.lol/v1/operations/status","curl_fail","","curl: (7) Failed to connect to api.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"Public landing","2026-06-01T20:22:44Z","https://ceq.lol/","https://ceq.lol/","curl_fail","","curl: (7) Failed to connect to ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"App root no-cookie","2026-06-01T20:22:44Z","https://app.ceq.lol/","https://app.ceq.lol/","curl_fail","","curl: (7) Failed to connect to app.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"App login","2026-06-01T20:22:44Z","https://app.ceq.lol/login","https://app.ceq.lol/login","curl_fail","","curl: (7) Failed to connect to app.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"App session","2026-06-01T20:22:44Z","https://app.ceq.lol/api/auth/session","https://app.ceq.lol/api/auth/session","curl_fail","","curl: (7) Failed to connect to app.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
"App docs","2026-06-01T20:22:44Z","https://app.ceq.lol/api/docs","https://app.ceq.lol/api/docs","curl_fail","","curl: (7) Failed to connect to app.ceq.lol port 443 after 0 ms: Couldn't connect to server ",""
